Generación,Mejor Individuo,Fitness
79,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
80,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 54.293532599824616, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",124473.64525522184
81,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
82,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
83,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
84,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
85,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
86,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
87,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
88,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
89,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
90,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
91,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
92,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 26.75294835873737, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",130257.16794585015
93,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
94,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
95,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
96,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
97,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
98,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
99,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",134945.9008345329
